hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
,,,,,LITSHOVHU secondary school ,English,1.0,0.0,Second,Parents or guardians,Between 41 and 60,Rural Village,6,4,Walking,0.0,0.0,One meal a day at home,Bachelor,5,0.0,Suburb/City/Town,"Spouse/Partner e.g. wife, boyfriend etc.",1.0,4.0,0.0,0.0,0.0,1,1,0,0,0,1,1,First,Other,Home,,,1.0,Greater than 30km,Own automobile/car,Between 1 and 2 hours,2,"Spouse/Partner e.g., wife, boyfriend etc.",,"Spouse/Partner e.g., wife, boyfriend etc.",,,,
,,,,,Mananye Secondary school ,English,1.0,0.0,Second,No fee-paying school,Less than 20,Rural Village,10,9,Walking,0.0,0.0,School based feeding programme,Bachelor,3,0.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,First,Teachers,University Residence,Catered,1.0,,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Ngali Secondary School,IsiZulu,1.0,1.0,Second,No fee-paying school,Between 20 and 30,Rural Village,10,9,Walking,1.0,0.0,School based feeding programme,Bachelor,4,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Grace Christian Private School,English,1.0,0.0,Second,Parents or guardians,Between 20 and 30,Township,13,10,Walking,0.0,1.0,Parents provided lunch box.,Bachelor,4,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Ngale Secondary School,Sepedi,1.0,1.0,First,No fee-paying school,Between 61 and 80,Public,6,6,School Bus,0.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,First,Other,University Residence,Self Catering,1.0,1.0,Less than 5km,Walking,less than 30 minutes,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Ebenezer Nyathi S.S.S,English,1.0,0.0,Second,Parents or guardians,Between 41 and 60,Rural Village,9,7,Public Transport,0.0,0.0,School based feeding programme,Bachelor,3,1.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,Second,Family,University Residence,Self Catering,1.0,,Between 6km and 9km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Edison Nesengani Secondary School ,Tshivenda,1.0,1.0,First,Parents or guardians,Between 41 and 60,Rural Village,4,4,Walking,0.0,1.0,School based feeding programme,Bachelor,1,0.0,Rural Village,Single Parent,0.0,0.0,0.0,1.0,6.0,1,0,1,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 6km and 9km,University bus service,Between 31 minutes and an hour,3,NSFAS,NSFAS,NSFAS,1.0,1.0,,Domestic servant or unskilled labour
,,,,,Motlalaohle ,Sepedi,1.0,0.0,Second,No fee-paying school,Between 41 and 60,Rural Village,10,9,Walking,0.0,0.0,School based feeding programme,Bachelor,2,1.0,Rural Village,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,Passion,Accommodation,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,Domestic servant or unskilled labour,
,,,,,Matshumane secondary school ,Sepedi,1.0,1.0,First,No fee-paying school,Between 41 and 60,Rural Village,6,7,Walking,0.0,0.0,School based feeding programme,Bachelor,2,1.0,Rural Village,Single Parent,0.0,0.0,0.0,1.0,6.0,1,0,1,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Less than 5km,Walking,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Ebenezer high school ,English,1.0,1.0,Second,No fee-paying school,Greater than 80,Public,7,5,Walking,0.0,0.0,School based feeding programme,Bachelor,3,0.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,First,The desire to make a difference,University Residence,Self Catering,1.0,0.0,Between 6km and 9km,Walking,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,Employed and earning salary/wages,Employed and earning salary/wages
