target_success_75,school_language_same_as_home,english_language_level_ord,family_attended_university,programme_choice_ord,nsfas_approved,matric_class_size_z,school_facilities_count_z,home_resources_count_z
1,1.0,2,0.0,1.0,1.0,0.1451659350570474,-0.3838579097067991,1.4234643557467577
1,0.0,2,1.0,2.0,0.0,-1.5507994306328456,2.168278462938406,1.4234643557467577
1,1.0,3,1.0,2.0,1.0,-1.0730627079032984,0.041498152400735,1.4234643557467577
1,1.0,2,0.0,1.0,1.0,-0.5714391490372737,-1.6599260960294016,-0.0175736340215649
1,0.0,3,1.0,1.0,1.0,0.1451659350570474,-0.3838579097067991,0.7029453608625964
1,1.0,3,0.0,1.0,1.0,2.03222598983876,-0.8092139718143333,-1.4586116237898874
1,0.0,3,1.0,1.0,0.0,0.1451659350570474,-1.6599260960294016,-0.0175736340215649
1,0.0,2,1.0,1.0,1.0,1.1006393805161423,-1.2345700339218677,-0.7380926289057262
1,0.0,2,1.0,1.0,1.0,-0.5714391490372737,0.8922102766158034,0.7029453608625964
1,0.0,3,1.0,1.0,1.0,0.1451659350570474,-0.3838579097067991,-0.0175736340215649
1,0.0,3,1.0,1.0,1.0,0.1451659350570474,0.8922102766158034,-1.4586116237898874
1,0.0,2,1.0,1.0,1.0,-1.0730627079032984,0.8922102766158034,0.7029453608625964
1,0.0,3,1.0,1.0,0.0,-0.5714391490372737,1.742922400830872,0.7029453608625964
1,1.0,3,1.0,1.0,1.0,-1.0730627079032984,0.4668542145082692,0.7029453608625964
1,0.0,3,0.0,1.0,0.0,0.1451659350570474,-0.8092139718143333,-0.7380926289057262
1,0.0,3,0.0,1.0,1.0,-0.5714391490372737,0.4668542145082692,1.4234643557467577
1,0.0,2,0.0,1.0,1.0,-1.0730627079032984,1.742922400830872,0.7029453608625964
1,1.0,3,1.0,1.0,1.0,0.1451659350570474,-0.8092139718143333,-1.4586116237898874
1,0.0,2,1.0,2.0,1.0,-0.5714391490372737,-0.3838579097067991,1.4234643557467577
1,0.0,3,1.0,2.0,1.0,2.03222598983876,-1.2345700339218677,-1.4586116237898874
1,0.0,2,1.0,3.0,1.0,0.1451659350570474,-0.8092139718143333,0.7029453608625964
1,1.0,3,1.0,1.0,1.0,-1.0730627079032984,0.4668542145082692,0.7029453608625964
1,1.0,2,0.0,1.0,1.0,0.1451659350570474,-1.2345700339218677,-0.7380926289057262
1,1.0,2,0.0,1.0,1.0,-0.5714391490372737,0.4668542145082692,-0.0175736340215649
1,0.0,3,1.0,1.0,1.0,2.03222598983876,1.3175663387233376,0.7029453608625964
1,0.0,2,1.0,1.0,0.0,2.03222598983876,0.041498152400735,0.7029453608625964
1,0.0,3,1.0,1.0,1.0,0.1451659350570474,0.8922102766158034,-0.0175736340215649
1,0.0,3,0.0,1.0,1.0,0.1451659350570474,-0.8092139718143333,-0.0175736340215649
1,0.0,2,0.0,1.0,1.0,-1.0730627079032984,-0.3838579097067991,-1.4586116237898874
1,1.0,2,1.0,1.0,0.0,1.1006393805161423,0.041498152400735,-0.0175736340215649
1,0.0,3,1.0,2.0,1.0,-1.0730627079032984,1.742922400830872,2.143983350630919
1,1.0,2,1.0,1.0,1.0,2.03222598983876,0.041498152400735,-0.0175736340215649
1,0.5,2,1.0,3.0,1.0,1.1006393805161423,1.742922400830872,1.4234643557467577
1,1.0,3,0.0,1.0,1.0,-1.0730627079032984,-2.935994282352004,0.7029453608625964
1,1.0,3,1.0,3.0,0.0,2.03222598983876,-0.3838579097067991,1.4234643557467577
1,0.0,3,1.0,2.0,0.0,0.1451659350570474,0.4668542145082692,-0.0175736340215649
1,1.0,2,0.0,1.0,1.0,-1.0730627079032984,-0.3838579097067991,-0.7380926289057262
1,1.0,2,1.0,1.0,1.0,0.1451659350570474,-1.2345700339218677,-0.0175736340215649
1,0.0,3,0.0,1.0,1.0,-1.0730627079032984,1.742922400830872,-0.0175736340215649
1,1.0,2,1.0,1.0,0.0,-0.5714391490372737,0.041498152400735,-0.0175736340215649
1,1.0,3,1.0,3.0,1.0,2.03222598983876,0.041498152400735,-0.7380926289057262
1,0.0,2,0.0,1.0,1.0,0.1451659350570474,0.041498152400735,-0.7380926289057262
1,1.0,2,1.0,1.0,0.0,-0.5714391490372737,-0.3838579097067991,0.7029453608625964
1,1.0,3,1.0,1.0,0.0,-1.0730627079032984,0.041498152400735,1.4234643557467577
1,0.0,2,1.0,1.0,1.0,-1.0730627079032984,1.3175663387233376,1.4234643557467577
1,1.0,2,1.0,1.0,1.0,-0.5714391490372737,-0.8092139718143333,0.7029453608625964
1,1.0,3,1.0,2.0,0.0,-0.5714391490372737,1.742922400830872,1.4234643557467577
1,1.0,3,1.0,1.0,1.0,2.03222598983876,0.041498152400735,-1.4586116237898874
1,1.0,3,1.0,1.0,0.0,-0.5714391490372737,0.4668542145082692,-0.0175736340215649
1,0.0,2,1.0,1.0,1.0,-1.0730627079032984,0.4668542145082692,2.143983350630919
1,0.0,3,1.0,1.0,1.0,-0.5714391490372737,-0.8092139718143333,-0.7380926289057262
1,0.0,3,1.0,1.0,1.0,-1.0730627079032984,0.041498152400735,1.4234643557467577
1,1.0,3,1.0,2.0,1.0,0.1451659350570474,0.4668542145082692,0.7029453608625964
1,1.0,2,1.0,1.0,0.0,-0.5714391490372737,-0.3838579097067991,-0.7380926289057262
1,1.0,2,1.0,2.0,1.0,0.1451659350570474,1.742922400830872,2.143983350630919
1,0.0,2,1.0,1.0,1.0,2.03222598983876,-0.3838579097067991,0.7029453608625964
0,1.0,2,0.0,1.0,1.0,0.1451659350570474,1.742922400830872,-0.0175736340215649
1,1.0,3,1.0,1.0,0.0,0.1451659350570474,0.4668542145082692,0.7029453608625964
1,1.0,2,1.0,1.0,1.0,0.1451659350570474,-0.8092139718143333,-0.7380926289057262
1,1.0,2,1.0,1.0,1.0,2.03222598983876,-0.3838579097067991,-1.4586116237898874
1,0.0,3,1.0,1.0,1.0,-1.0730627079032984,-1.6599260960294016,1.4234643557467577
1,0.0,2,0.0,2.0,1.0,-1.0730627079032984,0.4668542145082692,-0.7380926289057262
1,0.0,2,1.0,1.0,1.0,-0.5714391490372737,-1.2345700339218677,-0.7380926289057262
1,0.0,3,1.0,1.0,1.0,1.1006393805161423,0.041498152400735,0.7029453608625964
1,0.0,2,0.0,1.0,1.0,0.1451659350570474,1.742922400830872,-0.7380926289057262
0,1.0,2,0.0,1.0,0.0,-1.0730627079032984,0.041498152400735,-0.7380926289057262
1,1.0,2,1.0,2.0,0.0,1.1006393805161423,-0.8092139718143333,-1.4586116237898874
1,0.0,3,1.0,1.0,1.0,-1.0730627079032984,0.041498152400735,1.4234643557467577
1,1.0,2,1.0,1.0,0.0,0.1451659350570474,-1.2345700339218677,1.4234643557467577
1,1.0,2,1.0,1.0,1.0,-0.5714391490372737,0.8922102766158034,-0.0175736340215649
1,1.0,2,1.0,1.0,1.0,-0.5714391490372737,-0.3838579097067991,-0.7380926289057262
1,0.0,1,0.0,1.0,1.0,0.1451659350570474,-0.3838579097067991,-0.0175736340215649
1,0.0,2,1.0,1.0,1.0,-1.0730627079032984,0.4668542145082692,-0.7380926289057262
1,1.0,2,1.0,1.0,1.0,0.1451659350570474,0.4668542145082692,0.7029453608625964
1,0.0,1,1.0,1.0,1.0,2.03222598983876,0.4668542145082692,0.7029453608625964
1,1.0,3,1.0,1.0,1.0,2.03222598983876,-1.2345700339218677,-1.4586116237898874
1,0.0,2,1.0,1.0,1.0,0.1451659350570474,-0.3838579097067991,0.7029453608625964
1,0.0,2,0.0,1.0,0.0,2.03222598983876,1.742922400830872,-0.7380926289057262
1,0.0,3,1.0,1.0,0.0,-1.0730627079032984,2.168278462938406,1.4234643557467577
1,1.0,2,1.0,2.0,1.0,1.1006393805161423,-1.2345700339218677,-1.4586116237898874
1,0.0,2,0.0,1.0,1.0,-0.5714391490372737,-0.3838579097067991,-0.0175736340215649
1,1.0,3,1.0,1.0,1.0,-0.5714391490372737,0.041498152400735,-0.7380926289057262
1,1.0,3,1.0,1.0,0.0,-1.0730627079032984,0.4668542145082692,0.7029453608625964
1,0.0,3,1.0,1.0,1.0,0.1451659350570474,0.041498152400735,-0.0175736340215649
1,0.0,2,1.0,1.0,1.0,-0.5714391490372737,0.041498152400735,-0.7380926289057262
1,0.0,2,1.0,1.0,1.0,0.1451659350570474,-0.8092139718143333,0.7029453608625964
1,0.0,2,1.0,1.0,1.0,0.1451659350570474,1.742922400830872,-0.0175736340215649
1,0.0,3,1.0,3.0,1.0,-0.5714391490372737,0.041498152400735,0.7029453608625964
1,0.0,3,1.0,1.0,1.0,-1.0730627079032984,-0.3838579097067991,-0.7380926289057262
1,0.0,3,0.0,1.0,1.0,2.03222598983876,0.4668542145082692,-1.4586116237898874
1,0.0,2,1.0,1.0,1.0,0.1451659350570474,0.4668542145082692,1.4234643557467577
0,1.0,2,1.0,1.0,1.0,2.03222598983876,0.041498152400735,-0.0175736340215649
1,1.0,3,0.0,1.0,1.0,0.1451659350570474,-1.6599260960294016,-0.0175736340215649
1,1.0,3,0.0,2.0,1.0,-1.0730627079032984,0.8922102766158034,-0.7380926289057262
1,0.0,2,1.0,1.0,1.0,0.1451659350570474,0.8922102766158034,1.4234643557467577
1,1.0,3,1.0,1.0,1.0,-0.5714391490372737,-0.3838579097067991,-0.0175736340215649
1,1.0,3,0.0,1.0,1.0,1.1006393805161423,0.041498152400735,-0.7380926289057262
1,0.0,2,1.0,3.0,1.0,-0.5714391490372737,-0.8092139718143333,0.7029453608625964
0,0.0,3,0.0,1.0,1.0,-1.0730627079032984,-0.3838579097067991,0.7029453608625964
1,1.0,3,1.0,1.0,1.0,2.03222598983876,-0.3838579097067991,-0.7380926289057262
0,0.0,2,1.0,3.0,1.0,0.1451659350570474,0.4668542145082692,-1.4586116237898874
1,0.0,2,0.0,2.0,0.0,-0.5714391490372737,-0.3838579097067991,-0.7380926289057262
1,1.0,2,1.0,1.0,0.0,1.1006393805161423,1.3175663387233376,2.143983350630919
1,0.0,2,1.0,1.0,1.0,-0.5714391490372737,0.8922102766158034,1.4234643557467577
1,1.0,2,0.0,2.0,1.0,0.1451659350570474,-0.8092139718143333,-0.7380926289057262
1,1.0,2,1.0,2.0,1.0,2.03222598983876,0.4668542145082692,-0.7380926289057262
0,0.0,2,0.0,1.0,0.0,-1.0730627079032984,0.041498152400735,1.4234643557467577
1,1.0,2,1.0,1.0,1.0,2.03222598983876,-3.3613503444595385,-2.1791306186740487
1,0.0,2,1.0,2.0,1.0,-1.0730627079032984,1.3175663387233376,1.4234643557467577
1,0.0,3,1.0,1.0,1.0,0.1451659350570474,0.8922102766158034,-0.0175736340215649
1,1.0,3,1.0,1.0,1.0,0.1451659350570474,0.4668542145082692,1.4234643557467577
1,0.0,2,0.0,3.0,1.0,2.03222598983876,-0.8092139718143333,-0.7380926289057262
1,1.0,3,1.0,1.0,1.0,0.1451659350570474,-0.8092139718143333,-1.4586116237898874
1,0.0,3,0.0,1.0,1.0,-0.5714391490372737,0.8922102766158034,-0.7380926289057262
1,1.0,3,1.0,1.0,1.0,-1.5507994306328456,-1.6599260960294016,2.143983350630919
1,1.0,2,1.0,1.0,0.0,0.1451659350570474,0.8922102766158034,0.7029453608625964
1,1.0,3,1.0,2.0,1.0,0.1451659350570474,0.041498152400735,-0.0175736340215649
