hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
1.0,0.844,0.156,0.844,1.0,Napscom Secondary School ,Sepedi,1.0,0.0,Second,No fee-paying school,Between 20 and 30,Rural Village,9,9,Walking,1.0,0.0,School based feeding programme,Bachelor,3,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,First,Family,University Residence,Self Catering,1.0,,Greater than 30km,University bus service,Between 31 minutes and an hour,1,Funding arrangements not analyzed (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),,0.0,A student,Unemployed and looking for work
0.994,0.684,0.31,0.688128772635815,0.0,Nkwangulatilo Education Centre ,English,1.0,0.0,Second,Parents or guardians,Between 20 and 30,Suburb/City/Town,10,10,Dropped off by parent or relative,1.0,0.0,Parents provided lunch box.,Bachelor,5,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,First,Passion,University Residence,Self Catering,,1.0,Between 6km and 9km,University bus service,Between 31 minutes and an hour,2,Parent/Parents,Parent/Parents,"Guardian e.g., grandparent, uncle, siblings etc.",,0.0,Employed and earning salary/wages,Employed and earning salary/wages
1.0,1.0,0.0,1.0,1.0,Kutama secondary school ,Tshivenda,1.0,1.0,Second,No fee-paying school,Between 41 and 60,Rural Village,8,8,Walking,0.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,No support,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,Job Security,University Residence,Self Catering,1.0,0.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.9,0.9,0.0,1.0,1.0,Lekete High School ,Sepulana,1.0,0.0,First,No fee-paying school,Between 61 and 80,Rural Village,11,8,Public Transport,0.0,1.0,School based feeding programme,Bachelor,3,0.0,Rural Village,Single Parent,0.0,0.0,0.0,1.0,5.0,1,1,1,0,1,1,1,First,The desire to make a difference,University Residence,Self Catering,0.0,1.0,Less than 5km,Walking,less than 30 minutes,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.08,0.08,0.0,1.0,1.0,Semendhe Secondary ,Xitsonga,1.0,1.0,Second,Government scholarship/bursary,Between 41 and 60,Rural Village,6,5,Walking,0.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,Both Parents,1.0,2.0,0.0,1.0,5.0,1,0,0,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,0.6,0.4,0.6,0.0,Mokebe Secondary School,English,1.0,0.0,First,Government scholarship/bursary,Between 41 and 60,Rural Village,2,3,Public Transport,0.0,1.0,School based feeding programme,Bachelor,3,0.0,Rural Village,Single Parent,0.0,0.0,0.0,1.0,5.0,1,0,0,0,1,1,1,Third,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Between 6km and 9km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.964,0.964,0.0,1.0,1.0,Matsukubyane secondary school ,Setswana,0.0,1.0,Second,No fee-paying school,Between 61 and 80,Township,6,6,Scholar transport (Rural learners),1.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,No support,0.0,0.0,0.0,1.0,5.0,1,1,0,0,1,0,1,First,Teachers,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.6,0.3,0.3,0.5,0.0,National School of Arts,English,1.0,0.0,Third,"Bursary e.g., Sasol, Eskom etc.",Between 41 and 60,Suburb/City/Town,10,10,Boarding school,1.0,1.0,Parents provided lunch box.,Bachelor,3,1.0,Township,Both Parents,0.0,0.0,1.0,1.0,5.0,1,1,1,0,1,1,1,Third,The desire to make a difference,University Residence,Self Catering,1.0,0.0,Greater than 30km,University bus service,Between 1 and 2 hours,1,NSFAS,NSFAS,NSFAS,1.0,1.0,Employed and earning salary/wages,Employed and earning salary/wages
1.0,1.0,0.0,1.0,1.0,Ngwanatshwane secondary school,Sepedi,1.0,1.0,First,"Bursary e.g., Sasol, Eskom etc.",Between 61 and 80,Rural Village,5,5,Walking,0.0,0.0,Three meals a day,Bachelor,3,1.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,Other,University Residence,Self Catering,1.0,0.0,Less than 5km,Walking,less than 30 minutes,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Velangaye ,IsiZulu,1.0,1.0,Second,Educational or schooling insurance policy,Greater than 80,Rural Village,3,3,Walking,0.0,1.0,School based feeding programme,Bachelor,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,
1.0,0.906,0.094,0.906,1.0,Health care sciences,English,1.0,0.0,Second,Trust fund,Between 41 and 60,Township,5,4,Walking,0.0,1.0,School based feeding programme,Bachelor,2,0.0,Township,"Guardian e.g., grandparent, uncle, siblings etc..",1.0,,0.0,1.0,5.0,1,0,1,0,0,1,1,First,The desire to make a difference,University Residence,Self Catering,1.0,0.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.9,0.9,0.0,1.0,1.0,Seageng Secondary School,Setswana,1.0,1.0,Second,No fee-paying school,Between 20 and 30,Suburb/City/Town,10,10,School Bus,1.0,1.0,School based feeding programme,Bachelor,5,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,Second,Passion,University Residence,Self Catering,1.0,1.0,Less than 5km,University bus service,Between 31 minutes and an hour,2,Government scholarship/bursary,Government scholarship/bursary,Government scholarship/bursary,,,,
0.9,0.9,0.0,1.0,1.0,Mampoi Secondary School ,English,1.0,1.0,First,,Between 31 and 40,Public,12,10,Walking,0.0,0.0,School based feeding programme,Bachelor,4,1.0,Rural Village,Both Parents,,,0.0,0.0,0.0,0,0,0,0,1,0,1,,,Accommodation,Self Catering,1.0,1.0,,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.9,0.9,0.0,1.0,1.0,Mhlanga Secondary School,IsiXhosa ,1.0,0.0,First,No fee-paying school,Between 41 and 60,Rural Village,7,6,Walking,0.0,0.0,School based feeding programme,Bachelor,0,1.0,Rural Village,Both Parents,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 10km and 14km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.9,0.9,0.0,1.0,1.0,Njeyeza secondary school ,SiSwati,1.0,1.0,Second,Parents or guardians,Between 20 and 30,Township,9,7,Walking,1.0,0.0,Parents provided lunch box.,Bachelor,5,0.0,Township,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,1,Second,Job Security,Accommodation,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 1 and 2 hours,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Kheto Nxumayo Agricultural High school ,Xitsonga,1.0,0.0,First,No fee-paying school,Between 41 and 60,Rural Village,6,6,Public Transport,0.0,1.0,School based feeding programme,Bachelor,3,0.0,Rural Village,No support,0.0,0.0,0.0,1.0,5.0,0,0,0,0,1,0,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 1 and 2 hours,1,NSFAS,NSFAS,NSFAS,1.0,1.0,Unemployed and looking for work,Self-employed
1.0,1.0,0.0,1.0,1.0,Highveld Secondary School,English,1.0,1.0,Second,Parents or guardians,Between 41 and 60,Rural Village,8,7,Walking,0.0,0.0,School based feeding programme,Bachelor,4,1.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Kwandebele Science Secondary School,English,1.0,1.0,Second,No fee-paying school,Between 20 and 30,Rural Village,8,7,Public Transport,0.0,0.0,,Bachelor,3,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.9,0.9,0.0,1.0,1.0,KwaDukathole Comprehensive School ,English,1.0,1.0,Third,Parents or guardians,Between 41 and 60,Township,7,6,Public Transport,0.0,1.0,School based feeding programme,Bachelor,1,1.0,Informal settlement,Both Parents,1.0,3.0,0.0,0.0,0.0,1,1,0,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,0.0,Between 10km and 14km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,0.844,0.156,0.844,1.0,Mahlabela Secondary School ,English,1.0,1.0,First,No fee-paying school,Between 31 and 40,Suburb/City/Town,11,8,Dropped off by parent or relative,1.0,1.0,School based feeding programme,Bachelor,4,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,1.0,11.0,1,0,1,0,1,0,1,First,Family,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,4,NSFAS,NSFAS,NSFAS,1.0,1.0,Employed and earning salary/wages,Employed and earning salary/wages
1.0,1.0,0.0,1.0,1.0,Curry Academy Pretoria ,English,0.0,0.0,Second,Self-funded,Between 31 and 40,Rural Village,8,7,Own Automobile/car,0.0,0.0,Two meals a day,Bachelor,4,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,1.0,6.0,1,1,0,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,Government scholarship/bursary,Government scholarship/bursary,Government scholarship/bursary,0.0,0.0,,
1.0,1.0,0.0,1.0,1.0,Makuane Senior Secondary School,English,1.0,1.0,Second,No fee-paying school,Less than 20,Rural Village,7,7,Walking,0.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,Passion,University Residence,,,1.0,Less than 5km,Walking,less than 30 minutes,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,Self-employed
1.0,1.0,0.0,1.0,1.0,Florida Park highschool ,English,0.0,1.0,First,Parents or guardians,Between 31 and 40,Public,9,9,Walking,0.0,1.0,Parents provided lunch box.,Bachelor,4,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,1.0,6.0,1,1,0,0,0,0,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Less than 5km,Walking,less than 30 minutes,3,Government scholarship/bursary,Government scholarship/bursary,Government scholarship/bursary,,,,
0.5,0.5,0.0,1.0,1.0,Pakamani SSS,IsiXhosa,1.0,1.0,First,Parents or guardians,Greater than 80,Rural Village,5,6,Walking,0.0,0.0,One meal a day at home,Bachelor,1,1.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.5,0.5,0.0,1.0,1.0,Tlhorong SS ,Sesotho,1.0,1.0,First,No fee-paying school,Between 31 and 40,Home schooling,6,2,Walking,0.0,0.0,School based feeding programme,Bachelor,2,1.0,Township,Single Parent,0.0,0.0,0.0,1.0,5.0,1,1,0,0,1,1,1,First,Other,Accommodation,,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,Unemployed and looking for work
1.0,1.0,0.0,1.0,1.0,Waterberg High School ,English,1.0,0.0,Third,Parents or guardians,Between 31 and 40,Suburb/City/Town,8,7,Walking,0.0,0.0,Parents provided lunch box.,Bachelor,4,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,First,Passion,Accommodation,,1.0,0.0,Between 20km and 30km,Public transport,less than 30 minutes,2,Parent/Parents,Parent/Parents,"Guardian e.g., grandparent, uncle, siblings etc.",,,Employed and earning salary/wages,Employed and earning salary/wages
1.0,1.0,0.0,1.0,1.0,Springs Girls' High School,English,0.0,0.0,Second,Parents or guardians,Between 20 and 30,Suburb/City/Town,11,11,Public Transport,0.0,0.0,Parents provided lunch box.,Bachelor,4,1.0,Township,Single Parent,0.0,0.0,0.0,1.0,5.0,0,0,0,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,0.0,Less than 5km,Walking,less than 30 minutes,2,"Bursary e.g., Eskom, Sasol etc.","Bursary e.g., Eskom, Sasol etc","Bursary e.g., Eskom, Sasol etc.",,,,
0.5,0.5,0.0,1.0,1.0,Sidungeni secondary school,SiSwati,1.0,1.0,First,Parents or guardians,Between 41 and 60,Rural Village,5,5,Walking,0.0,0.0,School based feeding programme,Bachelor,4,1.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,1,First,The desire to make a difference,University Residence,,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,5,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.801,0.801,0.0,1.0,1.0,Geysdorp Secondary ,Setswana,1.0,1.0,First,No fee-paying school,Less than 20,Farm,5,5,Public Transport,0.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,Single Parent,1.0,1.0,0.0,1.0,15.0,0,1,0,0,0,0,1,First,Role Models,University Residence,Self Catering,1.0,1.0,Less than 5km,Walking,Between 31 minutes and an hour,2,Government scholarship/bursary,Government scholarship/bursary,Government scholarship/bursary,,,,
