hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
1.0,1.0,0.0,1.0,1.0,Mathew phosa secondary school ,Sepedi,0.0,1.0,First,"Bursary e.g., Sasol, Eskom etc.",Between 61 and 80,Public,9,8,Walking,0.0,0.0,School based feeding programme,School leaving,2,0.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,First,Family,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,0.8,0.2,0.8,1.0,McAuley House School,English,0.0,0.0,First,Parents or guardians,Between 20 and 30,Suburb/City/Town,12,12,Public Transport,0.0,0.0,Parents provided lunch money,Bachelor,5,0.0,Township,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,0.0,1.0,6.0,1,1,0,0,0,1,1,Third,Passion,Accommodation,Self Catering,1.0,1.0,Less than 5km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,0.0,,
1.0,1.0,0.0,1.0,1.0,RISINGA HIGH SCHOOL,English,0.0,0.0,First,No fee-paying school,Between 41 and 60,Township,6,5,Walking,0.0,1.0,School based feeding programme,Bachelor,4,1.0,Township,Single Parent,0.0,0.0,0.0,1.0,6.0,1,1,1,0,1,1,1,First,Other,Accommodation,Self Catering,1.0,0.0,Greater than 30km,University bus service,Between 1 and 2 hours,2,NSFAS,NSFAS,NSFAS,1.0,0.0,,
1.0,1.0,0.0,1.0,1.0,Bodiela Secondary School ,Sepedi,1.0,1.0,First,No fee-paying school,Between 31 and 40,Rural Village,5,5,Walking,0.0,1.0,One meal a day at home,Bachelor,2,1.0,Rural Village,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.5,0.5,0.0,1.0,1.0,Mmalesiba Secondary school ,Sepedi,1.0,1.0,Second,No fee-paying school,Between 61 and 80,Rural Village,8,6,Walking,0.0,0.0,School based food garden,Bachelor,3,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,First,Passion,University Residence,Self Catering,0.0,1.0,,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,Employed and earning salary/wages,Unemployed and looking for work
1.0,1.0,0.0,1.0,1.0,Rusplaas Christian Model School,English,1.0,0.0,Second,Parents or guardians,Between 20 and 30,Township,11,9,Dropped off by parent or relative,0.0,0.0,Parents provided lunch box.,Bachelor,2,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,First,The desire to make a difference,Accommodation,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,Funding arrangements not analyzed (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),1.0,0.0,Employed and earning salary/wages,
1.0,1.0,0.0,1.0,1.0,Gaopalelwe secondary school,English,1.0,1.0,First,No fee-paying school,Between 31 and 40,Public,7,6,Walking,0.0,1.0,Parents provided lunch box.,Bachelor,5,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,Third,Passion,University Residence,,1.0,1.0,Less than 5km,Walking,less than 30 minutes,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Pakamani ,Isixhosa,1.0,1.0,First,No fee-paying school,Between 41 and 60,Township,5,5,Public Transport,0.0,1.0,School based food garden,Bachelor,6,1.0,Rural Village,Single Parent,1.0,3.0,0.0,1.0,5.0,0,1,0,0,0,0,1,First,Passion,University Residence,Self Catering,1.0,0.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,Parent/Parents,Parent/Parents,"Guardian e.g., grandparent, uncle, siblings etc.",1.0,0.0,,Employed and earning salary/wages
0.9,0.9,0.0,1.0,1.0,Kgatoentle Secondary School (LG Holele),Setswana,1.0,1.0,First,No fee-paying school,Between 41 and 60,Public,9,8,Public Transport,0.0,1.0,Parents provided lunch box.,Bachelor,3,0.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,The desire to make a difference,Home,,,0.0,Greater than 30km,Public transport,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,0.0,,
1.0,1.0,0.0,1.0,1.0,J.M.Ntsime High school,English,1.0,0.0,Second,Parents or guardians,Between 31 and 40,Rural Village,9,6,Scholar transport (Rural learners),0.0,0.0,Parents provided lunch money,Bachelor,5,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,Third,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,"Loans e.g., bank, Edu loan etc.","Loans e.g., bank, Edu","Loans e.g., bank, Edu loan",,,,
